Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,966.2,1070.1,1079.7,1098.4,1026.4,1050.1,1039.5,1215.9,1187.8,947.5,893.7,743.2,744.2,802.8,750.3,760.6,814.9,844.9,1043,2394.8,1199.2,1275.2,1336.5
Croatia,1276.2,1182.3,1279,1035.1,940.4,981.3,991.8,1020.7,1171.9,1067.8,989.5,1024.2,936.2,894.6,1003.9,999.4,950.5,1009.8,986.5,1070.2,1044.9,1361.2,1341.2
Czechia,3302.3,3176.9,3391.1,3682.7,3535.8,3865.8,3571.1,3446.4,2938.3,3025.2,2744.4,2471.5,2375.8,2265.6,2254.4,2343.4,2540.2,2537,2991.6,3296.1,3614.7,3935.6,3707.1
Czechoslovakia,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,192.3,224.4,268,309.8,326.7,312.9,343,464.5,454.7,394,377.2,401.4,469,484.4,518.5,564.3,606.6,624.4,656.6,701.1,779.7,748.6,753.5
German Democratic Republic,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,1520.5,1670.1,1823.8,1968.5,1822.7,1804.4,1616.8,1646.8,1530.5,1364.2,1223.8,1240.7,1181,1116.7,1100,1237.3,1413.5,1784.4,1615.5,2279.9,2954.3,3060.1,2774
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.9,29.3,42.1,49.4,44.4,47.3,51.9,58.3,60.6,64.9,67.5,71.9,84.7,79.6,108
Latvia,146,183.3,299.6,345.7,373.1,434.2,545.8,595,583,370.3,280.3,290.1,266.7,286.3,297,339,488.6,554.8,756.3,756.4,795.1,823.1,819.5
Lithuania,324.2,380.2,379,370.7,427.6,466.2,516,562.5,580.1,437.6,365.3,352.7,353.2,365.5,439.5,585.5,784.7,953,1147.5,1224,1275.1,1306.8,1656.1
North Macedonia,132.3,420.6,182.7,166.6,177.7,165.6,157.6,182.3,167.3,163.2,138.8,129.5,122.3,122.2,120.4,116.2,121.1,114.5,127.2,162.6,166.2,205.6,230.9
Montenegro,xxx,xxx,xxx,xxx,xxx,83.9,82.8,74.9,85.3,78.4,80,77.8,69,62.5,65.7,65.2,71.1,72.9,77.4,79.8,88.1,91.1,97.7
Poland,5775.4,5956.1,6058.4,6303.9,6603,7053.1,7497.8,8469.8,7703.8,8126,8513.9,8632.9,8708.4,8637.8,9610,11436.5,10803,11047.1,12512.8,12723.5,14189.8,15112.5,16818.9
Romania,2039.2,2138.6,2127.1,2194.1,2359.5,2495.2,2572.2,2466.7,2718.5,2311.6,2128.9,2202.3,2142.4,2305.6,2519.5,2906.5,3066.6,4161,4627.8,5065.8,5418.7,5300,5161.1
Serbia,1657.4,1319.7,1459.7,1279.1,1181.8,990.4,999.3,1126.8,1093.3,1074.9,1042.9,1001.6,968.3,937.8,947,911.4,903.9,970.3,891.2,1282.4,1216.2,1270.8,1443.5
Slovakia,1147.2,1292.1,1311.8,1391.3,1292.5,1400.6,1420.7,1437.1,1472.8,1407.4,1232,1057.2,1057.7,957.7,988.6,1172.6,1202.6,1223.6,1401.7,2002,2190.8,2064.8,2003
Slovenia,415.4,510.2,565.8,589.2,625,637.1,729.9,734.2,777.5,783.1,779.8,629.2,541.8,480.3,460.3,456.3,513.1,526,549.2,616.4,600.2,762.8,758.9
Armenia,157.1,152.5,150.8,173.7,191.7,234.5,277,324.7,376.8,392.8,410.4,376.1,385.1,433.5,440.2,476.5,468.5,479.5,541.3,674.3,655.1,619.4,634.3
Azerbaijan,221.5,250.5,269.7,336.4,407.8,477.2,980.3,1531.6,2061,1820.6,1723.9,3280,3402.8,3442,3454.7,3671.4,1702.8,1787.4,1880.4,2032.1,2386.6,2703.2,2664.8
Belarus,177.3,220.9,229.7,232.2,281,365.7,474.9,518.2,531.1,470.2,529,568,638.3,683.1,693.7,675.7,636,610.9,695,736.3,744.2,762.8,792.2
Georgia,32.4,41.2,58.9,71.6,99.9,265.4,450.9,892.8,847.5,516.9,387.4,348.6,361.6,328.9,318.6,283.7,304.9,309.4,317.8,313.4,302.9,300.5,292.7
Moldova,16.4,18.1,21.2,23.1,20.6,24,30.5,34.6,42.6,30.8,23.5,26,26.6,29.6,32.4,33.1,39.3,38.5,41.1,46.6,46.3,52.3,40.1
Russia,22839.8,24683,27343.6,28670.8,29967.1,34054.9,37693.6,41029.6,45082.3,47299.8,48261.4,51506.4,59677.9,62586.2,67075.1,72293.5,77501.7,62801.2,60435,63143.9,64627.4,65907.7,71981.1
Ukraine,1271.1,1194.1,1382.1,1666,1823.8,2424.9,2720.4,3306.6,3234.8,2311.7,2400.5,2159.1,2440.2,2497.7,3431.3,4187.4,4278.8,4276.2,5087.4,5811.1,6455.9,5942.8,43983.2
Austria,3680.4,3429.3,3369.1,3508.6,3514.8,3439.3,3303.5,3928.6,3807.2,3555.1,3534.7,3454.3,3408.7,3276.4,3303.1,3158.4,3399.1,3569,3590.8,3671.9,4094.3,4196.4,3783.9
Belgium,6079.3,5812.1,5635.7,5696.9,5578.3,5375.1,5333.3,5754.9,6274,5909.3,5659.8,5461.2,5400.3,5262.6,5177.3,4985.2,4964.8,4968,5076.5,5190.1,5651.4,6239.4,7045
Cyprus,476,562,384.2,371.9,386.4,419.8,413.1,391.6,392.9,428.9,445,412.3,376.4,339.6,320.3,358.6,328.7,389.9,460.5,498.5,513.8,541.8,514.6
Denmark,4249.7,4512.9,4458.9,4328.5,4353.4,4147.8,4533.8,4373.3,4541.2,4270,4546.2,4237.4,4369.8,4008.1,3832,3792,4042.7,4124.3,4718,4868.3,5177.2,5273.7,5737.7
